month_lag,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11
2020-01,0.27,0.28,0.28,0.27,0.29,0.29,0.29,0.27,0.26,0.29,0.3
2020-02,0.27,0.27,0.28,0.28,0.29,0.29,0.29,0.27,0.28,0.3,0.29
2020-03,0.25,0.28,0.27,0.26,0.27,0.27,0.28,0.26,0.27,0.28,0.28
2020-04,0.19,0.21,0.2,0.21,0.21,0.2,0.22,0.2,0.2,0.21,0.21
2020-05,0.2,0.21,0.21,0.21,0.21,0.21,0.22,0.2,0.22,0.22,0.22
2020-06,0.24,0.24,0.23,0.22,0.23,0.24,0.23,0.24,0.23,0.25,0.23
2020-07,0.24,0.24,0.25,0.25,0.25,0.25,0.25,0.24,0.25,0.26,0.26
2020-08,0.24,0.26,0.25,0.26,0.26,0.26,0.26,0.26,0.27,0.27,0.26
2020-09,0.26,0.27,0.26,0.26,0.27,0.27,0.27,0.25,0.27,0.27,0.27
2020-10,0.25,0.25,0.26,0.26,0.25,0.25,0.26,0.26,0.26,0.28,0.27
2020-11,0.24,0.25,0.26,0.25,0.25,0.25,0.25,0.25,0.26,0.27,0.26
